,Away Team,Home Team,Away Spread,Away Spread Odds,Home Spread,Home Spread Odds,Away ML,Home ML,Over,Over Odds,Under,Under Odds,Away 1H ML,Home 1H ML,Away 1H Spread,Away 1H Spread Odds,Home 1H Spread,Home 1H Spread Odds,1H Over,1H Over Odds,1H Under,1H Under Odds
0,KCR,TOR,1.5,106,-1.5,-128,198,-240,9.5,-110,9.5,-110,194,-245,0.5,138,-0.5,-170,5.5,116,5.5,-142
1,OAK,LAA,-1.5,106,1.5,-128,-148,126,10.0,-112,10.0,-108,-140,114,-0.5,-105,0.5,-115,5.5,-105,5.5,-115
2,HOU,SFG,1.5,-215,-1.5,176,100,-118,8.5,-102,8.5,-120,100,-122,0.5,-160,-0.5,130,4.5,106,4.5,-130
3,BAL,DET,-1.5,140,1.5,-170,-108,-108,9.5,-102,9.5,-120,-122,100,-0.5,110,0.5,-134,5.5,106,5.5,-130
4,BOS,TBR,1.5,-205,-1.5,168,100,-118,8.5,-104,8.5,-118,-118,-104,0.5,-154,-0.5,126,4.5,-104,4.5,-118
5,NYY,MIA,-1.5,-115,1.5,-104,-205,172,7.5,-115,7.5,-105,-188,152,-0.5,-128,0.5,104,3.5,-142,3.5,116
6,PHI,PIT,-1.5,104,1.5,-125,-172,144,7.5,-115,7.5,-105,-176,142,-0.5,-112,0.5,-108,3.5,-144,3.5,118
7,SEA,TEX,-1.5,125,1.5,-150,-136,116,8.5,-110,8.5,-110,-138,112,-0.5,100,0.5,-122,4.5,-110,4.5,-110
8,CIN,NYM,1.5,-184,-1.5,152,108,-126,8.5,-118,8.5,-104,104,-128,0.5,-138,-0.5,112,4.5,-102,4.5,-120
9,CLE,CHW,1.5,-146,-1.5,122,130,-154,9.0,-110,9.0,-110,100,-122,0.5,-114,-0.5,-106,4.5,-128,4.5,104
10,MIN,STL,1.5,-184,-1.5,152,116,-136,8.5,-112,8.5,-108,114,-140,0.5,-130,-0.5,106,4.5,-110,4.5,-110
11,MIL,ATL,-1.5,114,1.5,-137,-144,122,8.5,-120,8.5,-102,-158,128,-0.5,-118,0.5,-104,4.5,-108,4.5,-112
12,COL,SDP,1.5,-130,-1.5,108,160,-190,7.0,-105,7.0,-115,154,-192,0.5,-102,-0.5,-120,3.5,-112,3.5,-110
