,Player,Prop,Over,Over Odds,Under,Under Odds
0,Zach LaVine,Points,23.5,-110,23.5,-110
1,Nikola Vucevic,Points,22.5,-106,22.5,-116
2,Thaddeus Young,Points,12.5,-104,12.5,-116
3,Pascal Siakam,Points,23.5,-118,23.5,-102
4,Gary Trent Jr.,Points,18.5,-114,18.5,-108
5,OG Anunoby,Points,17.5,-108,17.5,-112
6,Chris Boucher,Points,14.5,-122,14.5,100
7,Tomas Satoransky,Points,9.5,-124,9.5,102
8,Patrick Williams,Points,8.5,-122,8.5,100
9,Thaddeus Young,Rebounds,7.5,114,7.5,-140
10,Pascal Siakam,Rebounds,6.5,-140,6.5,114
11,Gary Trent Jr.,Rebounds,2.5,-115,2.5,-105
12,Zach LaVine,Rebounds,4.5,-134,4.5,110
13,OG Anunoby,Rebounds,5.5,-138,5.5,112
14,Nikola Vucevic,Rebounds,11.5,-102,11.5,-120
15,Chris Boucher,Rebounds,6.5,-104,6.5,-118
16,Patrick Williams,Rebounds,4.5,-110,4.5,-110
17,Tomas Satoransky,Rebounds,2.5,-154,2.5,126
18,Pascal Siakam,Assists,5.5,-106,5.5,-114
19,Zach LaVine,Assists,4.5,-102,4.5,-120
20,Nikola Vucevic,Assists,3.5,-132,3.5,108
21,Thaddeus Young,Assists,4.5,110,4.5,-134
22,OG Anunoby,Assists,2.5,-142,2.5,116
23,Tomas Satoransky,Assists,5.5,-120,5.5,-102
24,Patrick Williams,Assists,1.5,-105,1.5,-115
25,Pascal Siakam,Made Threes,1.5,-138,1.5,108
26,Nikola Vucevic,Made Threes,2.5,142,2.5,-184
27,OG Anunoby,Made Threes,2.5,-108,2.5,-118
28,Gary Trent Jr.,Made Threes,3.5,-111,3.5,-115
29,Zach LaVine,Made Threes,3.5,146,3.5,-188
30,Chris Boucher,Made Threes,1.5,-138,1.5,108
31,Pascal Siakam,Reb + Ast,12.5,-120,12.5,-106
32,Thaddeus Young,Reb + Ast,11.5,-113,11.5,-113
33,Nikola Vucevic,Reb + Ast,15.5,-102,15.5,-125
34,OG Anunoby,Reb + Ast,8.5,-132,8.5,104
35,Gary Trent Jr.,Reb + Ast,4.5,-122,4.5,-104
36,Zach LaVine,Reb + Ast,9.5,-108,9.5,-118
37,Zach LaVine,Pts + Ast,27.5,-125,27.5,-102
38,Nikola Vucevic,Pts + Ast,26.5,-106,26.5,-120
39,Thaddeus Young,Pts + Ast,16.5,-120,16.5,-106
40,Pascal Siakam,Pts + Ast,29.5,-113,29.5,-113
41,Gary Trent Jr.,Pts + Ast,20.5,-120,20.5,-106
42,OG Anunoby,Pts + Ast,20.5,-111,20.5,-115
43,Zach LaVine,Pts + Reb,28.5,-113,28.5,-113
44,Nikola Vucevic,Pts + Reb,33.5,-122,33.5,-104
45,Thaddeus Young,Pts + Reb,19.5,-120,19.5,-106
46,Pascal Siakam,Pts + Reb,30.5,-125,30.5,-102
47,Gary Trent Jr.,Pts + Reb,21.5,-113,21.5,-113
48,OG Anunoby,Pts + Reb,23.5,-115,23.5,-111
49,Zach LaVine,Pts + Reb + Ast,33.5,-104,33.5,-122
50,Nikola Vucevic,Pts + Reb + Ast,37.5,-122,37.5,-104
51,Thaddeus Young,Pts + Reb + Ast,24.5,-104,24.5,-122
52,Pascal Siakam,Pts + Reb + Ast,36.5,-115,36.5,-111
