,Date,Team,1,2,3,4,T
0,20201222,Golden State,25,20,26,28,99
1,20201222,Brooklyn,40,23,36,26,125
2,20201222,LA Clippers,39,17,33,27,116
3,20201222,LA Lakers,19,35,24,31,109
4,20201223,Milwaukee,34,25,25,37,121
5,20201223,Boston,31,33,37,21,122
6,20201223,Atlanta,42,41,28,13,124
7,20201223,Chicago,29,30,20,25,104
8,20201223,Charlotte,23,21,36,34,114
9,20201223,Cleveland,24,41,28,28,121
10,20201223,Sacramento,25,28,36,23,112
11,20201223,Denver,31,29,24,28,112
12,20201223,New York,33,33,16,25,107
13,20201223,Indiana,35,26,27,33,121
14,20201223,San Antonio,30,36,33,32,131
15,20201223,Memphis,33,20,35,31,119
16,20201223,Detroit,34,23,28,16,101
17,20201223,Minnesota,25,31,24,31,111
18,20201223,Miami,29,24,30,24,107
19,20201223,Orlando,27,29,23,34,113
20,20201223,Washington,26,33,24,24,107
21,20201223,Philadelphia,30,28,15,40,113
22,20201223,Dallas,22,23,26,31,102
23,20201223,Phoenix,23,30,24,29,106
24,20201223,Utah,32,33,29,26,120
25,20201223,Portland,25,19,24,32,100
26,20201223,New Orleans,23,27,38,25,113
27,20201223,Toronto,26,31,22,20,99
28,20201225,Brooklyn,26,25,35,37,123
29,20201225,Boston,22,32,23,18,95
30,20201225,LA Clippers,32,40,26,23,121
31,20201225,Denver,26,29,24,29,108
32,20201225,Dallas,30,27,28,30,115
33,20201225,LA Lakers,33,36,30,39,138
34,20201225,New Orleans,26,27,26,19,98
35,20201225,Miami,29,37,22,23,111
36,20201225,Golden State,25,31,20,23,99
37,20201225,Milwaukee,33,33,34,38,138
38,20201226,Indiana,27,39,33,26,125
39,20201226,Chicago,28,28,15,35,106
40,20201226,Oklahoma City,26,31,23,29,109
41,20201226,Charlotte,28,31,16,32,107
42,20201226,Cleveland,26,33,22,20,101
43,20201226,Detroit,26,27,33,15,101
44,20201226,Atlanta,27,31,29,35,122
45,20201226,Memphis,22,34,32,24,112
46,20201226,Philadelphia,27,33,26,23,109
47,20201226,New York,27,28,14,20,89
48,20201226,Houston,31,37,17,28,113
49,20201226,Portland,27,31,26,29,113
50,20201226,Phoenix,25,29,25,24,103
51,20201226,Sacramento,31,27,25,23,106
52,20201226,Toronto,39,19,28,28,114
53,20201226,San Antonio,33,28,30,28,119
54,20201226,Minnesota,31,37,20,28,116
55,20201226,Utah,27,26,26,32,111
56,20201226,Orlando,32,31,29,38,130
57,20201226,Washington,32,27,32,29,120
58,20201227,Golden State,24,36,33,36,129
59,20201227,Chicago,27,29,41,31,128
60,20201227,Brooklyn,22,28,27,27,104
61,20201227,Charlotte,23,25,34,24,106
62,20201227,Philadelphia,24,26,22,22,94
63,20201227,Cleveland,29,35,29,25,118
64,20201227,Boston,23,32,28,24,107
65,20201227,Indiana,19,30,39,20,108
66,20201227,Dallas,36,41,27,20,124
67,20201227,LA Clippers,13,14,30,16,73
68,20201227,Minnesota,23,22,22,24,91
69,20201227,LA Lakers,40,27,36,24,127
70,20201227,San Antonio,18,27,26,24,95
71,20201227,New Orleans,16,31,32,19,98
72,20201227,Milwaukee,27,18,30,35,110
73,20201227,New York,30,31,35,34,130
74,20201227,Phoenix,28,28,34,26,116
75,20201227,Sacramento,33,20,25,22,100
76,20201227,Orlando,29,33,15,43,120
77,20201227,Washington,35,25,34,19,113
78,20201228,Detroit,25,31,31,33,120
79,20201228,Atlanta,33,32,35,28,128
80,20201228,Memphis,32,22,33,19,106
81,20201228,Brooklyn,23,32,30,21,106
82,20201228,Houston,26,34,23,28,111
83,20201228,Denver,36,34,36,18,124
84,20201228,Portland,22,36,26,31,115
85,20201228,LA Lakers,30,24,31,22,107
86,20201228,Utah,22,27,35,26,110
87,20201228,Oklahoma City,24,28,35,22,109
88,20201229,New York,29,24,18,24,95
89,20201229,Cleveland,15,31,18,22,86
90,20201229,Golden State,24,24,29,39,116
91,20201229,Detroit,29,22,25,30,106
92,20201229,Boston,31,27,25,33,116
93,20201229,Indiana,26,31,37,17,111
94,20201229,Minnesota,29,21,26,25,101
95,20201229,LA Clippers,33,37,35,19,124
96,20201229,Milwaukee,46,37,32,29,144
97,20201229,Miami,26,25,24,22,97
98,20201229,Orlando,34,26,27,31,118
99,20201229,Oklahoma City,27,29,29,22,107
100,20201229,Toronto,28,28,20,17,93
101,20201229,Philadelphia,17,31,28,24,100
102,20201229,New Orleans,29,15,17,25,86
103,20201229,Phoenix,31,35,34,11,111
104,20201229,Denver,34,28,38,15,115
105,20201229,Sacramento,32,42,22,29,125
106,20201229,Chicago,31,21,31,32,115
107,20201229,Washington,26,20,27,34,107
108,20201230,Memphis,19,21,31,36,107
109,20201230,Boston,31,35,30,30,126
110,20201230,Atlanta,41,27,36,37,141
111,20201230,Brooklyn,38,29,35,43,145
112,20201230,Charlotte,36,32,30,20,118
113,20201230,Dallas,29,28,12,30,99
114,20201230,Portland,26,31,28,20,105
115,20201230,LA Clippers,37,39,31,21,128
116,20201230,Milwaukee,19,37,35,17,108
117,20201230,Miami,25,26,37,31,119
118,20201230,LA Lakers,35,28,29,29,121
119,20201230,San Antonio,27,26,29,25,107
120,20201231,Sacramento,33,26,27,33,119
121,20201231,Houston,32,31,24,35,122
122,20201231,Cleveland,21,30,17,31,99
123,20201231,Indiana,32,25,31,31,119
124,20201231,New Orleans,32,26,27,28,113
125,20201231,Oklahoma City,28,19,26,7,80
126,20201231,Philadelphia,38,37,23,18,116
127,20201231,Orlando,22,18,29,23,92
128,20201231,New York,18,24,22,19,83
129,20201231,Toronto,22,20,29,29,100
130,20201231,Phoenix,21,32,30,23,106
131,20201231,Utah,22,18,30,25,95
132,20201231,Chicago,35,36,36,26,133
133,20201231,Washington,41,27,32,30,130
134,20210101,Atlanta,29,32,28,25,114
135,20210101,Brooklyn,23,29,21,23,96
136,20210101,Memphis,23,30,30,25,108
137,20210101,Charlotte,19,28,20,26,93
138,20210101,Miami,16,15,22,30,83
139,20210101,Dallas,20,26,27,20,93
140,20210101,Phoenix,34,26,27,19,106
141,20210101,Denver,32,17,29,25,103
142,20210101,Boston,12,28,33,20,93
143,20210101,Detroit,27,28,24,17,96
144,20210101,Portland,36,31,31,25,123
145,20210101,Golden State,21,34,25,18,98
146,20210101,Chicago,21,19,35,21,96
147,20210101,Milwaukee,27,35,34,30,126
148,20210101,Washington,37,23,40,30,130
149,20210101,Minnesota,25,32,14,38,109
150,20210101,LA Lakers,25,33,23,28,109
151,20210101,San Antonio,31,26,28,18,103
152,20210101,LA Clippers,19,23,23,35,100
153,20210101,Utah,31,20,33,22,106
154,20210102,Cleveland,25,19,26,26,96
155,20210102,Atlanta,35,21,18,17,91
156,20210102,Sacramento,36,28,17,13,94
157,20210102,Houston,36,28,19,19,102
158,20210102,New York,26,24,32,24,106
159,20210102,Indiana,28,23,31,20,102
160,20210102,Toronto,26,34,22,34,116
161,20210102,New Orleans,32,23,32,33,120
162,20210102,Oklahoma City,28,24,32,24,108
163,20210102,Orlando,33,18,31,17,99
164,20210102,Charlotte,24,34,32,22,112
165,20210102,Philadelphia,39,34,31,23,127
166,20210103,Washington,29,41,24,29,123
167,20210103,Brooklyn,28,43,22,29,122
168,20210103,Dallas,31,29,21,27,108
169,20210103,Chicago,31,28,27,32,118
170,20210103,Boston,31,30,30,31,122
171,20210103,Detroit,33,24,31,32,120
172,20210103,Portland,33,21,29,39,122
173,20210103,Golden State,36,30,31,40,137
174,20210103,LA Lakers,25,31,21,31,108
175,20210103,Memphis,36,18,21,19,94
176,20210103,Denver,29,26,28,41,124
177,20210103,Minnesota,28,20,36,25,109
178,20210103,LA Clippers,37,27,24,24,112
179,20210103,Phoenix,24,20,37,26,107
180,20210103,Utah,33,32,33,32,130
181,20210103,San Antonio,23,28,25,33,109
182,20210104,New York,31,23,30,29,113
183,20210104,Atlanta,29,29,30,20,108
184,20210104,Sacramento,20,28,27,31,106
185,20210104,Golden State,37,31,32,37,137
186,20210104,Dallas,33,28,23,29,113
187,20210104,Houston,21,28,28,23,100
188,20210104,Oklahoma City,26,23,17,24,90
189,20210104,Miami,26,37,28,27,118
190,20210104,Detroit,26,30,24,35,115
191,20210104,Milwaukee,33,34,30,28,125
192,20210104,Indiana,26,27,26,27,106
193,20210104,New Orleans,24,27,26,29,106
194,20210104,Cleveland,19,30,18,16,83
195,20210104,Orlando,26,25,38,14,103
196,20210104,Charlotte,20,23,23,35,101
197,20210104,Philadelphia,23,35,24,36,118
198,20210104,Boston,23,38,39,26,126
199,20210104,Toronto,32,14,35,33,114
200,20210105,Utah,14,30,29,23,96
201,20210105,Brooklyn,35,28,35,32,130
202,20210105,Minnesota,22,43,31,20,116
203,20210105,Denver,34,28,31,30,123
204,20210105,San Antonio,36,27,22,31,116
205,20210105,LA Clippers,27,17,40,29,113
206,20210105,LA Lakers,19,26,22,27,94
207,20210105,Memphis,24,25,19,24,92
208,20210105,Chicago,21,24,36,30,111
209,20210105,Portland,39,15,31,23,108
210,20210106,Charlotte,27,32,22,21,102
211,20210106,Atlanta,11,29,27,27,94
212,20210106,LA Clippers,21,31,31,25,108
213,20210106,Golden State,15,36,26,24,101
214,20210106,Houston,30,26,31,20,107
215,20210106,Indiana,35,27,28,24,114
216,20210106,Boston,34,19,27,27,107
217,20210106,Miami,26,19,35,25,105
218,20210106,Detroit,33,23,26,33,115
219,20210106,Milwaukee,44,38,26,22,130
220,20210106,Oklahoma City,26,28,34,23,111
221,20210106,New Orleans,34,25,19,32,110
222,20210106,Utah,27,29,19,25,100
223,20210106,New York,20,24,34,34,112
224,20210106,Cleveland,23,22,19,30,94
225,20210106,Orlando,15,36,32,22,105
226,20210106,Washington,24,43,39,30,136
227,20210106,Philadelphia,33,49,34,25,141
228,20210106,Toronto,25,29,33,28,115
229,20210106,Phoenix,22,36,38,27,123
230,20210106,Chicago,25,34,34,31,124
231,20210106,Sacramento,28,34,31,35,128
232,20210107,Philadelphia,26,25,33,25,109
233,20210107,Brooklyn,28,37,29,28,122
234,20210107,Dallas,22,21,33,33,109
235,20210107,Denver,28,24,26,31,109
236,20210107,San Antonio,34,31,26,27,118
237,20210107,LA Lakers,26,30,33,20,109
