Index,Date,Team,1,2,3,4,T,Spread,Spread Odds,ML,Over,Over Odds,Under,Under Odds,1H Spread,1H Spread Odds,1H ML,1H Over,1H Over Odds,1H Under,1H Under Odds,2H Spread,2H Spread Odds,2H ML,2H Over,2H Over Odds,2H Under,2H Under Odds,1Q Spread,1Q Spread Odds,1Q ML,1Q Over,1Q Over Odds,1Q Under,1Q Under Odds,2Q Spread,2Q Spread Odds,2Q ML,2Q Over,2Q Over Odds,2Q Under,2Q Under Odds,3Q Spread,3Q Spread Odds,3Q ML,3Q Over,3Q Over Odds,3Q Under,3Q Under Odds,4Q Spread,4Q Spread Odds,4Q ML,4Q Over,4Q Over Odds,4Q Under,4Q Under Odds
GSW_20201222,20201222,GSW,25,20,26,28,99,7.5,-108,275,234.5,-109,234.5,-101,4.5,-110,195,120.0,-110,120.0,-110,-2.5,127.0,-135.0,116.0,105.0,116.0,-125.0,2.5,-105,170,59.5,-115,59.5,-105,1.5,-105,125,59.5,-110,59.5,-110,0.5,-135,-120.0,57.0,105,57.0,-125,1.0,-110,,56.0,-110,56.0,-110
BRK_20201222,20201222,BRK,40,23,36,26,125,-7.5,-102,-305,234.5,-109,234.5,-101,-4.5,-110,-235,120.0,-110,120.0,-110,2.5,-147.0,115.0,116.0,105.0,116.0,-125.0,-2.5,-115,-200,59.5,-115,59.5,-105,-1.5,-115,-154,59.5,-110,59.5,-110,-0.5,115,100.0,57.0,105,57.0,-125,-1.0,-110,,56.0,-110,56.0,-110
LAC_20201222,20201222,LAC,39,17,33,27,116,2.0,-107,115,219.0,-107,219.0,-103,1.0,-110,110,111.5,-110,111.5,-110,4.5,-135.0,145.0,109.5,105.0,109.5,-125.0,1.0,-110,115,56.0,-110,56.0,-110,0.5,-110,-103,56.0,-110,56.0,-110,2.0,-120,135.0,53.5,103,53.5,-123,0.5,-110,,53.0,-110,53.0,-110
LAL_20201222,20201222,LAL,19,35,24,31,109,-2.0,-103,-125,219.0,-107,219.0,-103,-1.0,-110,-130,111.5,-110,111.5,-110,-4.5,115.0,-165.0,109.5,105.0,109.5,-125.0,-1.0,-110,-135,56.0,-110,56.0,-110,-0.5,-110,-120,56.0,-110,56.0,-110,-2.0,100,-155.0,53.5,103,53.5,-123,-0.5,-110,,53.0,-110,53.0,-110
MIL_20201223,20201223,MIL,34,25,25,37,121,-4.5,-103,-185,223.0,-102,223.0,-108,-2.0,-110,-150,110.5,-110,110.5,-110,-2.5,-147.0,-225.0,113.5,-132.0,113.5,112.0,-1.5,-110,-145,55.0,-110,55.0,-110,-0.5,-115,-135,54.5,-115,54.5,-105,-3.0,105,-185.0,58.0,105,58.0,-125,-0.5,-115,,56.0,-105,56.0,-115
BOS_20201223,20201223,BOS,31,33,37,21,122,4.5,-107,170,223.0,-102,223.0,-108,2.0,-110,130,110.5,-110,110.5,-110,2.5,127.0,185.0,113.5,-132.0,113.5,112.0,1.5,-110,125,55.0,-110,55.0,-110,0.5,-105,110,54.5,-115,54.5,-105,3.0,-125,160.0,58.0,105,58.0,-125,0.5,-105,,56.0,-105,56.0,-115
ATL_20201223,20201223,ATL,42,41,28,13,124,-2.0,-102,-125,234.0,-105,234.0,-105,-0.5,-110,-123,119.0,-110,119.0,-110,6.5,-123.0,270.0,116.5,-103.0,116.5,-117.0,-0.5,-110,-125,60.0,-110,60.0,-110,-0.5,-110,-125,58.5,-110,58.5,-110,2.5,-110,160.0,57.5,-110,57.5,-110,-0.5,-110,,56.5,-115,56.5,-105
CHI_20201223,20201223,CHI,29,30,20,25,104,2.0,-108,115,234.0,-105,234.0,-105,0.5,-110,103,119.0,-110,119.0,-110,-6.5,103.0,-330.0,116.5,-103.0,116.5,-117.0,0.5,-110,105,60.0,-110,60.0,-110,0.5,-110,102,58.5,-110,58.5,-110,-2.5,-110,-185.0,57.5,-110,57.5,-110,0.5,-110,,56.5,-115,56.5,-105
CHO_20201223,20201223,CHO,23,21,36,34,114,-3.0,-107,-145,217.0,-105,217.0,-105,-1.5,-110,-140,110.5,-110,110.5,-110,-7.5,100.0,-420.0,107.5,-103.0,107.5,-117.0,-0.5,-110,-122,55.0,-105,55.0,-115,-0.5,-110,-128,54.5,-110,54.5,-110,-3.5,-110,-225.0,53.5,-110,53.5,-110,-0.5,-115,,52.0,-115,52.0,-105
CLE_20201223,20201223,CLE,24,41,28,28,121,3.0,-103,135,217.0,-105,217.0,-105,1.5,-110,120,110.5,-110,110.5,-110,7.5,-120.0,335.0,107.5,-103.0,107.5,-117.0,0.5,-110,102,55.0,-105,55.0,-115,0.5,-110,105,54.5,-110,54.5,-110,3.5,-110,185.0,53.5,-110,53.5,-110,0.5,-105,,52.0,-115,52.0,-105
