Index,Date,Home Team,Away Team,Home 1,Away 1,Home 2,Away 2,Home 3,Away 3,Home 4,Away 4,Home OT,Away OT,Home 2OT,Away 2OT,Home 3OT,Away 3OT,Home T,Away T,Home Spread,Home Spread Odds,Away Spread,Away Spread Odds,Home ML,Away ML,Over,Over Odds,Under,Under Odds,Home 1H Spread,Home 1H Spread Odds,Away 1H Spread,Away 1H Spread Odds,Home 1H ML,Away 1H ML,1H Over,1H Over Odds,1H Under,1H Under Odds,Home 2H Spread,Home 2H Spread Odds,Away 2H Spread,Away 2H Spread Odds,Home 2H ML,Away 2H ML,2H Over,2H Over Odds,2H Under,2H Under Odds,Home 1Q Spread,Home 1Q Spread Odds,Away 1Q Spread,Away 1Q Spread Odds,Home 1Q ML,Away 1Q ML,1Q Over,1Q Over Odds,1Q Under,1Q Under Odds,Home 2Q Spread,Home 2Q Spread Odds,Away 2Q Spread,Away 2Q Spread Odds,Home 2Q ML,Away 2Q ML,2Q Over,2Q Over Odds,2Q Under,2Q Under Odds,Home 3Q Spread,Home 3Q Spread Odds,Away 3Q Spread,Away 3Q Spread Odds,Home 3Q ML,Away 3Q ML,3Q Over,3Q Over Odds,3Q Under,3Q Under Odds,Home 4Q Spread,Home 4Q Spread Odds,Away 4Q Spread,Away 4Q Spread Odds,Home 4Q ML,Away 4Q ML,4Q Over,4Q Over Odds,4Q Under,4Q Under Odds
20201222_GSW_BRK,20201222,GSW,BRK,25,40,20,23,26,36,28,26,0,0,0,0,0,0,99,125,7.5,-108,-7.5,-102,275,-305,234.5,-109,234.5,-101,4.5,-110,-4.5,-110,195,-235,120.0,-110,120.0,-110,-2.5,127.0,2.5,-147.0,-135.0,115.0,116.0,105.0,116.0,-125.0,2.5,-105.0,-2.5,-115.0,170,-200,59.5,-115.0,59.5,-105.0,1.5,-105.0,-1.5,-115.0,125.0,-154.0,59.5,-110.0,59.5,-110.0,0.5,-135.0,-0.5,115.0,-120.0,100.0,57.0,105.0,57.0,-125.0,1.0,-110.0,-1.0,-110.0,,,56.0,-110.0,56.0,-110.0
20201222_LAC_LAL,20201222,LAC,LAL,39,19,17,35,33,24,27,31,0,0,0,0,0,0,116,109,2.0,-107,-2.0,-103,115,-125,219.0,-107,219.0,-103,1.0,-110,-1.0,-110,110,-130,111.5,-110,111.5,-110,4.5,-135.0,-4.5,115.0,145.0,-165.0,109.5,105.0,109.5,-125.0,1.0,-110.0,-1.0,-110.0,115,-135,56.0,-110.0,56.0,-110.0,0.5,-110.0,-0.5,-110.0,-103.0,-120.0,56.0,-110.0,56.0,-110.0,2.0,-120.0,-2.0,100.0,135.0,-155.0,53.5,103.0,53.5,-123.0,0.5,-110.0,-0.5,-110.0,,,53.0,-110.0,53.0,-110.0
20201223_MIL_BOS,20201223,MIL,BOS,34,31,25,33,25,37,37,21,0,0,0,0,0,0,121,122,-4.5,-103,4.5,-107,-185,170,223.0,-102,223.0,-108,-2.0,-110,2.0,-110,-150,130,110.5,-110,110.5,-110,-2.5,-147.0,2.5,127.0,-225.0,185.0,113.5,-132.0,113.5,112.0,-1.5,-110.0,1.5,-110.0,-145,125,55.0,-110.0,55.0,-110.0,-0.5,-115.0,0.5,-105.0,-135.0,110.0,54.5,-115.0,54.5,-105.0,-3.0,105.0,3.0,-125.0,-185.0,160.0,58.0,105.0,58.0,-125.0,-0.5,-115.0,0.5,-105.0,,,56.0,-105.0,56.0,-115.0
20201223_ATL_CHI,20201223,ATL,CHI,42,29,41,30,28,20,13,25,0,0,0,0,0,0,124,104,-2.0,-102,2.0,-108,-125,115,234.0,-105,234.0,-105,-0.5,-110,0.5,-110,-123,103,119.0,-110,119.0,-110,6.5,-123.0,-6.5,103.0,270.0,-330.0,116.5,-103.0,116.5,-117.0,-0.5,-110.0,0.5,-110.0,-125,105,60.0,-110.0,60.0,-110.0,-0.5,-110.0,0.5,-110.0,-125.0,102.0,58.5,-110.0,58.5,-110.0,2.5,-110.0,-2.5,-110.0,160.0,-185.0,57.5,-110.0,57.5,-110.0,-0.5,-110.0,0.5,-110.0,,,56.5,-115.0,56.5,-105.0
20201223_CHO_CLE,20201223,CHO,CLE,23,24,21,41,36,28,34,28,0,0,0,0,0,0,114,121,-3.0,-107,3.0,-103,-145,135,217.0,-105,217.0,-105,-1.5,-110,1.5,-110,-140,120,110.5,-110,110.5,-110,-7.5,100.0,7.5,-120.0,-420.0,335.0,107.5,-103.0,107.5,-117.0,-0.5,-110.0,0.5,-110.0,-122,102,55.0,-105.0,55.0,-115.0,-0.5,-110.0,0.5,-110.0,-128.0,105.0,54.5,-110.0,54.5,-110.0,-3.5,-110.0,3.5,-110.0,-225.0,185.0,53.5,-110.0,53.5,-110.0,-0.5,-115.0,0.5,-105.0,,,52.0,-115.0,52.0,-105.0
20201223_SAC_DEN,20201223,SAC,DEN,25,31,28,29,36,24,23,28,12,10,0,0,0,0,124,122,7.5,-105,-7.5,-105,270,-300,227.5,-102,227.5,-108,4.5,-110,-4.5,-110,185,-225,115.5,-110,115.5,-110,-7.0,415.0,7.0,-525.0,135.0,-155.0,112.0,-102.0,112.0,-118.0,3.0,-110.0,-3.0,-110.0,170,-200,57.5,-110.0,57.5,-110.0,1.5,-105.0,-1.5,-115.0,125.0,-154.0,57.0,-110.0,57.0,-110.0,1.0,-110.0,-1.0,-110.0,120.0,-140.0,55.5,-110.0,55.5,-110.0,1.5,-105.0,-1.5,-115.0,,,54.5,-115.0,54.5,-105.0
20201223_NYK_IND,20201223,NYK,IND,33,35,33,26,16,27,25,33,0,0,0,0,0,0,107,121,7.5,-102,-7.5,-108,280,-310,215.5,-105,215.5,-105,4.5,-110,-4.5,-110,210,-250,109.5,-110,109.5,-110,5.0,130.0,-5.0,-150.0,315.0,-380.0,107.5,-110.0,107.5,-110.0,3.0,-115.0,-3.0,-105.0,175,-210,54.0,-115.0,54.0,-105.0,2.0,-105.0,-2.0,-115.0,125.0,-154.0,53.5,-110.0,53.5,-110.0,3.5,-105.0,-3.5,-115.0,220.0,-260.0,54.5,-110.0,54.5,-110.0,1.0,-105.0,-1.0,-115.0,,,51.5,-105.0,51.5,-115.0
20201223_SAS_MEM,20201223,SAS,MEM,30,33,36,20,33,35,32,31,0,0,0,0,0,0,131,119,2.0,-105,-2.0,-105,110,-120,230.0,-105,230.0,-105,1.0,-110,-1.0,-110,110,-130,113.5,-110,113.5,-110,5.5,-123.0,-5.5,103.0,245.0,-290.0,118.0,-103.0,118.0,-117.0,0.5,-110.0,-0.5,-110.0,105,-125,57.0,-110.0,57.0,-110.0,,,,,100.0,-123.0,56.5,-115.0,56.5,-105.0,2.5,-110.0,-2.5,-110.0,160.0,-185.0,58.0,-110.0,58.0,-110.0,0.5,-115.0,-0.5,-105.0,,,57.0,-110.0,57.0,-110.0
20201223_DET_MIN,20201223,DET,MIN,34,25,23,31,28,24,16,31,0,0,0,0,0,0,101,111,5.5,-105,-5.5,-105,185,-200,224.5,-105,224.5,-105,3.0,-110,-3.0,-110,155,-175,114.5,-110,114.5,-110,1.0,165.0,-1.0,-190.0,200.0,-240.0,110.5,-103.0,110.5,-117.0,2.0,-105.0,-2.0,-115.0,145,-165,57.5,-110.0,57.5,-110.0,1.0,-105.0,-1.0,-115.0,118.0,-145.0,56.5,-110.0,56.5,-110.0,2.5,-120.0,-2.5,100.0,155.0,-175.0,53.5,-115.0,53.5,-105.0,0.5,-110.0,-0.5,-110.0,,,54.0,-115.0,54.0,-105.0
20201223_MIA_ORL,20201223,MIA,ORL,29,27,24,29,30,23,24,34,0,0,0,0,0,0,107,113,-4.5,-108,4.5,-102,-185,170,219.0,-103,219.0,-107,-2.0,-110,2.0,-110,-150,130,112.0,-110,112.0,-110,-5.5,102.0,5.5,-122.0,-235.0,195.0,107.0,-102.0,107.0,-118.0,-1.0,-115.0,1.0,-105.0,-140,120,55.5,-110.0,55.5,-110.0,-0.5,-115.0,0.5,-105.0,-141.0,115.0,54.5,-110.0,54.5,-110.0,-2.0,-110.0,2.0,-110.0,-170.0,150.0,53.0,-110.0,53.0,-110.0,-1.0,-115.0,1.0,-105.0,,,52.0,-115.0,52.0,-105.0
