,Date,Team,Spread,Spread Odds,ML,Over,Over Odds,Under,Under Odds,1H Spread,1H Spread Odds,1H ML,1H Over,1H Over Odds,1H Under,1H Under Odds,2H Spread,2H Spread Odds,2H ML,2H Over,2H Over Odds,2H Under,2H Under Odds,1Q Spread,1Q Spread Odds,1Q ML,1Q Over,1Q Over Odds,1Q Under,1Q Under Odds,2Q Spread,2Q Spread Odds,2Q ML,2Q Over,2Q Over Odds,2Q Under,2Q Under Odds,3Q Spread,3Q Spread Odds,3Q ML,3Q Over,3Q Over Odds,3Q Under,3Q Under Odds,4Q Spread,4Q Spread Odds,4Q ML,4Q Over,4Q Over Odds,4Q Under,4Q Under Odds
0,20201222,Golden State,7.5,-108,275,234.5,-109,234.5,-101,4.5,-110,195,120.0,-110,120.0,-110,-2.5,127.0,-135.0,116.0,105.0,116.0,-125.0,2.5,-105,170,59.5,-115,59.5,-105,1.5,-105,125,59.5,-110,59.5,-110,0.5,-135,-120.0,57.0,105,57.0,-125,1.0,-110,,56.0,-110,56.0,-110
1,20201222,Brooklyn,-7.5,-102,-305,234.5,-109,234.5,-101,-4.5,-110,-235,120.0,-110,120.0,-110,2.5,-147.0,115.0,116.0,105.0,116.0,-125.0,-2.5,-115,-200,59.5,-115,59.5,-105,-1.5,-115,-154,59.5,-110,59.5,-110,-0.5,115,100.0,57.0,105,57.0,-125,-1.0,-110,,56.0,-110,56.0,-110
2,20201222,LA,2.0,-107,115,219.0,-107,219.0,-103,1.0,-110,110,111.5,-110,111.5,-110,4.5,-135.0,145.0,109.5,105.0,109.5,-125.0,1.0,-110,115,56.0,-110,56.0,-110,0.5,-110,-103,56.0,-110,56.0,-110,2.0,-120,135.0,53.5,103,53.5,-123,0.5,-110,,53.0,-110,53.0,-110
3,20201222,L.A. Lakers,-2.0,-103,-125,219.0,-107,219.0,-103,-1.0,-110,-130,111.5,-110,111.5,-110,-4.5,115.0,-165.0,109.5,105.0,109.5,-125.0,-1.0,-110,-135,56.0,-110,56.0,-110,-0.5,-110,-120,56.0,-110,56.0,-110,-2.0,100,-155.0,53.5,103,53.5,-123,-0.5,-110,,53.0,-110,53.0,-110
4,20201223,Miami,-4.5,-108,-185,219.0,-103,219.0,-107,-2.0,-110,-150,112.0,-110,112.0,-110,-5.5,102.0,-235.0,107.0,-102.0,107.0,-118.0,-1.0,-115,-140,55.5,-110,55.5,-110,-0.5,-115,-141,54.5,-110,54.5,-110,-2.0,-110,-170.0,53.0,-110,53.0,-110,-1.0,-115,,52.0,-115,52.0,-105
5,20201223,Orlando,4.5,-102,170,219.0,-103,219.0,-107,2.0,-110,130,112.0,-110,112.0,-110,5.5,-122.0,195.0,107.0,-102.0,107.0,-118.0,1.0,-105,120,55.5,-110,55.5,-110,0.5,-105,115,54.5,-110,54.5,-110,2.0,-110,150.0,53.0,-110,53.0,-110,1.0,-105,,52.0,-115,52.0,-105
6,20201223,Charlotte,-3.0,-107,-145,217.0,-105,217.0,-105,-1.5,-110,-140,110.5,-110,110.5,-110,-7.5,100.0,-420.0,107.5,-103.0,107.5,-117.0,-0.5,-110,-122,55.0,-105,55.0,-115,-0.5,-110,-128,54.5,-110,54.5,-110,-3.5,-110,-225.0,53.5,-110,53.5,-110,-0.5,-115,,52.0,-115,52.0,-105
7,20201223,Cleveland,3.0,-103,135,217.0,-105,217.0,-105,1.5,-110,120,110.5,-110,110.5,-110,7.5,-120.0,335.0,107.5,-103.0,107.5,-117.0,0.5,-110,102,55.0,-105,55.0,-115,0.5,-110,105,54.5,-110,54.5,-110,3.5,-110,185.0,53.5,-110,53.5,-110,0.5,-105,,52.0,-115,52.0,-105
8,20201223,Washington,7.0,-102,257,230.5,-107,230.5,-103,4.5,-110,195,118.0,-110,118.0,-110,1.0,190.0,210.0,114.0,-102.0,114.0,-118.0,3.0,-115,175,58.5,-110,58.5,-110,1.5,-105,122,57.5,-110,57.5,-110,3.0,-110,170.0,56.5,-110,56.5,-110,1.0,-105,,56.5,-110,56.5,-110
9,20201223,Philadelphia,-7.0,-108,-285,230.5,-107,230.5,-103,-4.5,-110,-235,118.0,-110,118.0,-110,-1.0,-230.0,-250.0,114.0,-102.0,114.0,-118.0,-3.0,-105,-210,58.5,-110,58.5,-110,-1.5,-115,-152,57.5,-110,57.5,-110,-3.0,-110,-200.0,56.5,-110,56.5,-110,-1.0,-115,,56.5,-110,56.5,-110
