,Date,Home Team,Away Team,Home Spread,Home Spread Odds,Away Spread,Away Spread Odds,Home ML,Away ML,Over,Over Odds,Under,Under Odds,Home 1H Spread,Home 1H Spread Odds,Away 1H Spread,Away 1H Spread Odds,Home 1H ML,Away 1H ML,1H Over,1H Over Odds,1H Under,1H Under Odds,Home 2H Spread,Home 2H Spread Odds,Away 2H Spread,Away 2H Spread Odds,Home 2H ML,Away 2H ML,2H Over,2H Over Odds,2H Under,2H Under Odds,Home 1Q Spread,Home 1Q Spread Odds,Away 1Q Spread,Away 1Q Spread Odds,Home 1Q ML,Away 1Q ML,1Q Over,1Q Over Odds,1Q Under,1Q Under Odds,Home 2Q Spread,Home 2Q Spread Odds,Away 2Q Spread,Away 2Q Spread Odds,Home 2Q ML,Away 2Q ML,2Q Over,2Q Over Odds,2Q Under,2Q Under Odds,Home 3Q Spread,Home 3Q Spread Odds,Away 3Q Spread,Away 3Q Spread Odds,Home 3Q ML,Away 3Q ML,3Q Over,3Q Over Odds,3Q Under,3Q Under Odds,Home 4Q Spread,Home 4Q Spread Odds,Away 4Q Spread,Away 4Q Spread Odds,Home 4Q ML,Away 4Q ML,4Q Over,4Q Over Odds,4Q Under,4Q Under Odds
0,20201222,Golden State,Brooklyn,7.5,-108,-7.5,-102,275,-305,234.5,-109,234.5,-101,4.5,-110,-4.5,-110,195,-235,120.0,-110,120.0,-110,-2.5,127.0,2.5,-147.0,-135.0,115.0,116.0,105.0,116.0,-125.0,2.5,-105.0,-2.5,-115.0,170,-200,59.5,-115.0,59.5,-105.0,1.5,-105.0,-1.5,-115.0,125.0,-154.0,59.5,-110.0,59.5,-110.0,0.5,-135.0,-0.5,115.0,-120.0,100.0,57.0,105.0,57.0,-125.0,1.0,-110.0,-1.0,-110.0,,,56.0,-110.0,56.0,-110.0
1,20201222,LA,L.A. Lakers,2.0,-107,-2.0,-103,115,-125,219.0,-107,219.0,-103,1.0,-110,-1.0,-110,110,-130,111.5,-110,111.5,-110,4.5,-135.0,-4.5,115.0,145.0,-165.0,109.5,105.0,109.5,-125.0,1.0,-110.0,-1.0,-110.0,115,-135,56.0,-110.0,56.0,-110.0,0.5,-110.0,-0.5,-110.0,-103.0,-120.0,56.0,-110.0,56.0,-110.0,2.0,-120.0,-2.0,100.0,135.0,-155.0,53.5,103.0,53.5,-123.0,0.5,-110.0,-0.5,-110.0,,,53.0,-110.0,53.0,-110.0
2,20201223,Miami,Orlando,-4.5,-108,4.5,-102,-185,170,219.0,-103,219.0,-107,-2.0,-110,2.0,-110,-150,130,112.0,-110,112.0,-110,-5.5,102.0,5.5,-122.0,-235.0,195.0,107.0,-102.0,107.0,-118.0,-1.0,-115.0,1.0,-105.0,-140,120,55.5,-110.0,55.5,-110.0,-0.5,-115.0,0.5,-105.0,-141.0,115.0,54.5,-110.0,54.5,-110.0,-2.0,-110.0,2.0,-110.0,-170.0,150.0,53.0,-110.0,53.0,-110.0,-1.0,-115.0,1.0,-105.0,,,52.0,-115.0,52.0,-105.0
3,20201223,Charlotte,Cleveland,-3.0,-107,3.0,-103,-145,135,217.0,-105,217.0,-105,-1.5,-110,1.5,-110,-140,120,110.5,-110,110.5,-110,-7.5,100.0,7.5,-120.0,-420.0,335.0,107.5,-103.0,107.5,-117.0,-0.5,-110.0,0.5,-110.0,-122,102,55.0,-105.0,55.0,-115.0,-0.5,-110.0,0.5,-110.0,-128.0,105.0,54.5,-110.0,54.5,-110.0,-3.5,-110.0,3.5,-110.0,-225.0,185.0,53.5,-110.0,53.5,-110.0,-0.5,-115.0,0.5,-105.0,,,52.0,-115.0,52.0,-105.0
4,20201223,Washington,Philadelphia,7.0,-102,-7.0,-108,257,-285,230.5,-107,230.5,-103,4.5,-110,-4.5,-110,195,-235,118.0,-110,118.0,-110,1.0,190.0,-1.0,-230.0,210.0,-250.0,114.0,-102.0,114.0,-118.0,3.0,-115.0,-3.0,-105.0,175,-210,58.5,-110.0,58.5,-110.0,1.5,-105.0,-1.5,-115.0,122.0,-152.0,57.5,-110.0,57.5,-110.0,3.0,-110.0,-3.0,-110.0,170.0,-200.0,56.5,-110.0,56.5,-110.0,1.0,-105.0,-1.0,-115.0,,,56.5,-110.0,56.5,-110.0
5,20201223,New York,Indiana,7.5,-102,-7.5,-108,280,-310,215.5,-105,215.5,-105,4.5,-110,-4.5,-110,210,-250,109.5,-110,109.5,-110,5.0,130.0,-5.0,-150.0,315.0,-380.0,107.5,-110.0,107.5,-110.0,3.0,-115.0,-3.0,-105.0,175,-210,54.0,-115.0,54.0,-105.0,2.0,-105.0,-2.0,-115.0,125.0,-154.0,53.5,-110.0,53.5,-110.0,3.5,-105.0,-3.5,-115.0,220.0,-260.0,54.5,-110.0,54.5,-110.0,1.0,-105.0,-1.0,-115.0,,,51.5,-105.0,51.5,-115.0
6,20201223,New Orleans,Toronto,3.5,-102,-3.5,-108,145,-155,228.5,-102,228.5,-108,1.5,-110,-1.5,-110,120,-140,116.0,-110,116.0,-110,-7.0,280.0,7.0,-340.0,-110.0,-110.0,111.5,-103.0,111.5,-117.0,0.5,-115.0,-0.5,-105.0,100,-120,58.5,-110.0,58.5,-110.0,1.0,-110.0,-1.0,-110.0,110.0,-135.0,57.0,-115.0,57.0,-105.0,-0.5,105.0,0.5,-125.0,-110.0,-110.0,55.5,-110.0,55.5,-110.0,0.5,-105.0,-0.5,-115.0,,,56.0,-110.0,56.0,-110.0
7,20201223,Milwaukee,Boston,-4.5,-103,4.5,-107,-185,170,223.0,-102,223.0,-108,-2.0,-110,2.0,-110,-150,130,110.5,-110,110.5,-110,-2.5,-147.0,2.5,127.0,-225.0,185.0,113.5,-132.0,113.5,112.0,-1.5,-110.0,1.5,-110.0,-145,125,55.0,-110.0,55.0,-110.0,-0.5,-115.0,0.5,-105.0,-135.0,110.0,54.5,-115.0,54.5,-105.0,-3.0,105.0,3.0,-125.0,-185.0,160.0,58.0,105.0,58.0,-125.0,-0.5,-115.0,0.5,-105.0,,,56.0,-105.0,56.0,-115.0
8,20201223,Atlanta,Chicago,-2.0,-102,2.0,-108,-125,115,234.0,-105,234.0,-105,-0.5,-110,0.5,-110,-123,103,119.0,-110,119.0,-110,6.5,-123.0,-6.5,103.0,270.0,-330.0,116.5,-103.0,116.5,-117.0,-0.5,-110.0,0.5,-110.0,-125,105,60.0,-110.0,60.0,-110.0,-0.5,-110.0,0.5,-110.0,-125.0,102.0,58.5,-110.0,58.5,-110.0,2.5,-110.0,-2.5,-110.0,160.0,-185.0,57.5,-110.0,57.5,-110.0,-0.5,-110.0,0.5,-110.0,,,56.5,-115.0,56.5,-105.0
9,20201223,San Antonio,Memphis,2.0,-105,-2.0,-105,110,-120,230.0,-105,230.0,-105,1.0,-110,-1.0,-110,110,-130,113.5,-110,113.5,-110,5.5,-123.0,-5.5,103.0,245.0,-290.0,118.0,-103.0,118.0,-117.0,0.5,-110.0,-0.5,-110.0,105,-125,57.0,-110.0,57.0,-110.0,,,,,100.0,-123.0,56.5,-115.0,56.5,-105.0,2.5,-110.0,-2.5,-110.0,160.0,-185.0,58.0,-110.0,58.0,-110.0,0.5,-115.0,-0.5,-105.0,,,57.0,-110.0,57.0,-110.0
