,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,HOU_2017,SAS_2017,GSW_2018,HOU_2018,PHI_2018,TOR_2018,GSW_2019,TOR_2019,UTA_2019,BOS_2020,LAC_2020,LAL_2020,TOR_2020,BRK_2021,,,,,,,,,,,,
1,LAL_2017,ORL_2017,CHI_2018,MEM_2018,PHO_2018,SAC_2018,CHI_2019,CLE_2019,NYK_2019,PHO_2019,ATL_2020,CHO_2020,CLE_2020,GSW_2020,NYK_2020,MIN_2021,SAC_2021,,,,,,,,,
2,BOS_2017,BOS_2018,OKC_2018,POR_2018,SAS_2018,UTA_2018,BOS_2019,IND_2019,OKC_2019,PHI_2019,HOU_2020,IND_2020,MIA_2020,OKC_2020,PHI_2020,UTA_2020,BOS_2021,DAL_2021,IND_2021,PHI_2021,UTA_2021,,,,,
3,BRK_2017,PHI_2017,PHO_2017,ATL_2018,BRK_2018,ORL_2018,ATL_2019,CHI_2020,MIN_2020,WAS_2020,CHI_2021,CLE_2021,DET_2021,GSW_2021,NYK_2021,OKC_2021,ORL_2021,,,,,,,,,
4,CHO_2017,CHI_2017,DET_2017,IND_2017,MIA_2017,MIL_2017,OKC_2017,CHO_2018,DET_2018,LAC_2018,MIA_2018,MIL_2018,NOP_2018,WAS_2018,CHO_2019,DAL_2019,DET_2019,LAC_2019,MIA_2019,MIN_2019,ORL_2019,ORL_2020,PHO_2020,POR_2020,SAS_2020,POR_2021
5,ATL_2017,NOP_2017,LAL_2018,BRK_2019,LAL_2019,NOP_2019,SAC_2019,BRK_2020,MEM_2020,NOP_2020,CHO_2021,HOU_2021,MEM_2021,MIA_2021,NOP_2021,SAS_2021,TOR_2021,WAS_2021,,,,,,,,
6,DAL_2017,NYK_2017,SAC_2017,DAL_2018,NYK_2018,MEM_2019,WAS_2019,DET_2020,SAC_2020,,,,,,,,,,,,,,,,,
7,GSW_2017,MIL_2019,MIL_2020,LAL_2021,MIL_2021,,,,,,,,,,,,,,,,,,,,,
8,CLE_2017,LAC_2017,TOR_2017,UTA_2017,DEN_2019,HOU_2019,POR_2019,DAL_2020,ATL_2021,PHO_2021,,,,,,,,,,,,,,,,
9,DEN_2017,MEM_2017,MIN_2017,POR_2017,WAS_2017,CLE_2018,DEN_2018,IND_2018,MIN_2018,SAS_2019,DEN_2020,DEN_2021,LAC_2021,,,,,,,,,,,,,
